ROADMAP — Monstrinhos do Humor (Finch)
======================================

| Fase | % projeto | Estado |
|------|-----------|--------|
| 1 Base (jardim, pet, ranking) | 100% | 1.0.40–41 ✅ |
| 2 Loop diário (missões, sementes) | 100% | 1.0.42 ✅ |
| 3 Economia (loja, burst, histórico) | 100% | 1.0.43 ✅ |
| 4 Retenção (push) | 100% | 1.0.44 ✅ |
| 5 Visual wow | 100% | 1.0.47 ✅ |
| 6 Profundidade (widget + 5 missões) | 100% | 1.0.48 ✅ código |
| **Total 6 fases** | **100%** | 6/6 fechadas |

Feel Finch: ~95% após Fase 6 publicada (widget in-app; nativo home screen = futuro).
